Date,S&P 500,Materials,Communication Svcs,Energy,Financials,Industrials,Technology,Cons. Staples,Real Estate,Utilities,Healthcare,Cons. Discretionary
2023-03-20,379.93310546875,36.334510803222656,53.6563606262207,35.46493911743164,29.849637985229492,93.54367065429688,70.38091278076172,67.43244171142578,33.01436233520508,30.773700714111328,121.26908111572266,69.18791198730469
2023-03-21,384.9218444824219,36.7748908996582,54.801902770996094,36.692752838134766,30.606170654296875,94.62725067138672,70.94972229003906,67.37681579589844,32.82368850708008,30.153635025024414,122.00458526611328,71.09945678710938
2023-03-22,378.36029052734375,36.12140655517578,53.8408088684082,35.91225051879883,29.897518157958984,92.81488037109375,70.24360656738281,66.7558822631836,31.625150680541992,29.561124801635742,120.16107940673828,69.51546478271484
2023-03-23,379.3831481933594,36.078792572021484,54.71453857421875,35.414730072021484,29.6964168548584,92.54637145996094,71.38615417480469,66.49638366699219,31.434467315673828,29.257984161376953,119.93184661865234,69.44212341308594
2023-03-24,381.87261962890625,36.37238693237305,54.996070861816406,35.551666259765625,29.67725944519043,92.92996215820312,71.5724868774414,67.62704467773438,32.242576599121094,30.172008514404297,121.5938491821289,69.21723937988281
2023-03-27,382.586669921875,36.642295837402344,54.68540954589844,36.30934524536133,30.08905029296875,93.70669555664062,71.01839447021484,67.98847961425781,32.13361358642578,30.20874786376953,122.09053039550781,69.35901641845703
2023-03-28,381.7279357910156,36.8175163269043,54.23884201049805,36.870758056640625,30.079469680786133,94.18614196777344,70.68492889404297,68.10896301269531,32.024662017822266,30.291423797607422,121.35505676269531,69.2759017944336
2023-03-29,387.2762756347656,37.32892990112305,54.95724105834961,37.38196563720703,30.519987106323242,95.55742645263672,72.16581726074219,68.48895263671875,32.7873649597168,30.732362747192383,121.68936157226562,70.59100341796875
2023-03-30,389.5438537597656,37.58464050292969,55.2193603515625,37.54627990722656,30.452945709228516,95.75880432128906,73.00432586669922,68.6835708618164,33.21412658691406,30.86556053161621,122.34844207763672,71.20703125
2023-03-31,395.03436279296875,38.195499420166016,56.277530670166016,37.80644607543945,30.788127899169922,97.02458190917969,74.04878234863281,69.23963928222656,33.940513610839844,31.09062385559082,123.65704345703125,73.10879516601562
2023-04-03,396.5396423339844,38.43700408935547,56.510520935058594,39.5180778503418,30.845582962036133,97.19718933105469,73.93109893798828,69.6010971069336,33.62270736694336,30.879343032836914,125.04203033447266,72.43902587890625
2023-04-04,394.3395690917969,37.88296890258789,56.68526840209961,38.80147933959961,30.558290481567383,95.02042388916016,73.52410888671875,69.46206665039062,33.63179397583008,31.035507202148438,125.06111145019531,72.32169342041016
2023-04-05,393.30712890625,37.797725677490234,56.50081253051758,39.385704040527344,30.519987106323242,93.78340148925781,72.68559265136719,69.78645324707031,33.45928192138672,31.839298248291016,127.21981811523438,70.84034729003906
2023-04-06,394.8414306640625,37.70775604248047,57.209503173828125,38.787784576416016,30.634902954101562,93.75463104248047,73.09750366210938,69.84204864501953,33.686275482177734,32.064353942871094,127.5350341796875,70.85502624511719
2023-04-10,395.2466125488281,37.88771057128906,57.083290100097656,39.09816360473633,30.701936721801758,94.60808563232422,73.05827331542969,69.84204864501953,33.85879135131836,32.000057220458984,127.44905853271484,71.16791534423828
2023-04-11,395.3528137207031,38.18129348754883,56.93767547607422,39.46786880493164,30.970073699951172,95.1738510131836,72.37176513671875,70.04593658447266,34.02223205566406,32.02761459350586,127.87891387939453,71.2803726196289
2023-04-12,393.7413024902344,38.209712982177734,56.34548568725586,39.49525451660156,30.90304183959961,95.49030303955078,71.95986938476562,69.73084259033203,33.9223518371582,31.995464324951172,127.91712188720703,70.17545318603516
2023-04-13,398.9712829589844,38.60274124145508,57.52014923095703,39.74173355102539,31.18075942993164,95.8450927734375,73.29853820800781,70.12007904052734,33.81340026855469,32.000057220458984,129.5791015625,71.72525787353516
2023-04-14,397.9967346191406,38.3233528137207,57.5007438659668,39.81475830078125,31.487199783325195,95.73003387451172,72.89154052734375,69.67523193359375,33.23228454589844,31.64179229736328,128.53799438476562,71.81813049316406
2023-04-17,399.4248046875,38.54591751098633,57.17066955566406,39.34463119506836,31.851104736328125,96.48760223388672,73.1563491821289,70.12007904052734,33.98591232299805,31.816333770751953,128.4329376220703,72.32659149169922
2023-04-18,399.685302734375,38.70691680908203,56.87942886352539,39.49981689453125,31.94687271118164,96.94786834716797,73.38190460205078,70.33324432373047,33.93143081665039,31.650983810424805,127.55413055419922,72.44390869140625
2023-04-19,399.6177978515625,38.59800720214844,56.452274322509766,39.36288833618164,32.023475646972656,96.87113952636719,73.17105102539062,70.28690338134766,34.131187438964844,31.894420623779297,127.94580078125,72.3754653930664
2023-04-20,397.4370422363281,38.555389404296875,55.869789123535156,39.01600646972656,31.927717208862305,96.69855499267578,72.69049835205078,70.45372009277344,33.722591400146484,31.885221481323242,127.42042541503906,71.26079559326172
2023-04-21,397.7458190917969,38.21444320678711,56.005699157714844,38.787784576416016,31.81279945373535,96.47799682617188,72.45512390136719,70.96346282958984,33.758907318115234,31.977094650268555,128.28005981445312,72.04789733886719
2023-04-24,398.1606750488281,38.47488784790039,55.947452545166016,39.38115310668945,31.73618507385254,96.7081298828125,72.13639068603516,71.2507553100586,33.668121337890625,32.13785171508789,128.99644470214844,72.03813934326172
2023-04-25,391.84039306640625,37.6414680480957,55.073734283447266,38.6417236328125,31.19033432006836,94.92452239990234,70.59667205810547,71.15806579589844,33.35940933227539,32.10569763183594,127.62100982666016,70.61056518554688
2023-04-26,390.18072509765625,37.196346282958984,54.491249084472656,38.125953674316406,30.893461227416992,93.13134002685547,71.64603424072266,70.60202026367188,33.08700180053711,31.352436065673828,125.80615997314453,70.24880981445312
2023-04-27,397.9484558105469,37.70301818847656,57.65606689453125,38.26288986206055,31.391433715820312,94.97246551513672,73.16615295410156,71.38976287841797,33.88602828979492,31.729068756103516,126.46524047851562,72.10169219970703
2023-04-28,401.3450012207031,38.14341354370117,58.151187896728516,38.85625076293945,31.764921188354492,95.8930435180664,73.96051788330078,71.7697525024414,34.27646255493164,31.683135986328125,127.54460144042969,72.2874755859375
2023-05-01,400.9397277832031,38.12446975708008,58.1414680480957,38.418067932128906,31.678728103637695,96.41088104248047,74.00465393066406,71.82535552978516,33.95867919921875,31.738250732421875,128.20367431640625,71.57369232177734
2023-05-02,396.4335021972656,37.75511169433594,57.063880920410156,36.74752426147461,30.96050262451172,95.40398406982422,73.3132553100586,71.63072967529297,33.377559661865234,31.352436065673828,127.649658203125,71.64701843261719
2023-05-03,393.71240234375,37.33839797973633,56.84058380126953,36.053741455078125,30.606170654296875,95.03961181640625,72.69540405273438,71.04686737060547,33.168724060058594,31.265167236328125,127.47773742675781,71.07989501953125
2023-05-04,390.92376708984375,37.096893310546875,55.928035736083984,35.65208053588867,30.213537216186523,94.00395202636719,72.34724426269531,70.87077331542969,33.47743606567383,31.503999710083008,126.46524047851562,70.5323486328125
2023-05-05,398.1606750488281,37.72196578979492,56.62702178955078,36.619720458984375,30.96050262451172,95.42317199707031,74.16156768798828,71.52877807617188,33.9949951171875,31.70609474182129,127.60189819335938,71.95990753173828
2023-05-08,398.266845703125,37.598838806152344,57.199790954589844,36.619720458984375,31.008380889892578,95.07796478271484,74.1223373413086,71.31563568115234,33.758907318115234,31.609643936157227,127.3249282836914,72.2043685913086
2023-05-09,396.5203857421875,37.25789260864258,56.84058380126953,36.633419036865234,30.893461227416992,95.28893280029297,73.55352020263672,71.09318542480469,33.64995193481445,31.568313598632812,126.47480010986328,72.18479919433594
2023-05-10,398.37298583984375,37.281578063964844,57.34541702270508,36.21805191040039,30.721088409423828,94.94369506835938,74.45088958740234,70.98198699951172,33.967750549316406,31.85767364501953,126.8282241821289,72.55146789550781
2023-05-11,397.67828369140625,36.91695022583008,57.918190002441406,35.78445053100586,30.67320442199707,94.36833190917969,74.117431640625,71.19514465332031,33.61363220214844,31.531564712524414,126.43656921386719,72.88880920410156
2023-05-12,397.1571960449219,36.98324966430664,57.96672439575195,35.839210510253906,30.54871368408203,94.43547821044922,74.01936340332031,71.47317504882812,33.67719268798828,31.70609474182129,126.2646484375,72.27281188964844
